,day,month,year,holiday,temp,increase,power
272,5,7,2017,0,29.3,-1.9187714265724485,56075
273,6,7,2017,0,29.6,2.6107891217119934,57539
274,7,7,2017,0,28.9,-1.2843462694867829,56800
275,8,7,2017,1,27.1,-10.40669014084507,50889
276,9,7,2017,1,29.3,-4.350645522608029,48675
277,10,7,2017,0,29.3,12.949152542372882,54978
278,11,7,2017,0,27.6,-3.6741969515078767,52958
279,12,7,2017,0,27.5,-1.223611163563579,52310
280,13,7,2017,0,27.9,1.0858344484802145,52878
281,14,7,2017,0,28.6,2.477400809410341,54188
282,15,7,2017,1,27.6,-6.0124012696537985,50930
283,16,7,2017,1,28.4,-6.946789711368545,47392
284,17,7,2017,0,26.7,3.0996792707629983,48861
285,18,7,2017,0,27.1,2.912343177585395,50284
286,19,7,2017,0,27.0,0.5647919815448253,50568
287,20,7,2017,0,27.0,0.16413542161050468,50651
288,21,7,2017,0,27.2,-0.8805354287180905,50205
289,22,7,2017,1,29.0,-3.0873418982173084,48655
290,23,7,2017,1,29.3,-1.0153118898366047,48161
291,24,7,2017,0,30.0,16.791594858910734,56248
292,25,7,2017,0,28.5,-14.04316597923482,48349
293,26,7,2017,0,29.2,14.829675898157149,55519
294,27,7,2017,0,30.3,4.951458059403088,58268
295,28,7,2017,0,30.8,2.854053682982083,59931
296,29,7,2017,1,30.9,-1.4516694198328075,59061
297,30,7,2017,1,32.2,2.974890367586055,60818
298,31,7,2017,0,33.4,11.641290407445164,67898
299,1,8,2017,0,28.3,-12.05042858405255,59716
300,2,8,2017,0,30.3,-0.5191238529037444,59406
301,3,8,2017,0,27.9,-8.925024408308925,54104
302,4,8,2017,0,28.2,-3.328774212627532,52303
303,5,8,2017,1,27.8,-5.500640498632967,49426
304,6,8,2017,1,29.4,0.8720106826366691,49857
305,7,8,2017,0,30.0,14.722105220931866,57197
306,8,8,2017,0,31.9,10.794272426875537,63371
307,9,8,2017,0,32.6,5.270549620488867,66711
308,10,8,2017,0,30.9,-3.3142959931645457,64500
309,11,8,2017,0,32.1,1.8062015503875968,65665
310,12,8,2017,1,31.3,-5.7686743318358324,61877
311,13,8,2017,1,30.9,-5.551335714401151,58442
312,14,8,2017,0,31.3,9.169775161698778,63801
313,15,8,2017,0,26.3,-14.977821664237235,54245
314,16,8,2017,0,26.7,-4.0667342612222335,52039
315,17,8,2017,0,26.1,-3.4762389746151925,50230
316,18,8,2017,0,26.6,2.6975910810272747,51585
317,19,8,2017,1,28.0,-0.8141901715615005,51165
318,20,8,2017,1,29.4,-1.3388058242939511,50480
319,21,8,2017,0,30.3,12.095879556259904,56586
320,22,8,2017,0,31.1,17.629802424628,66562
321,25,8,2017,0,28.4,-0.056805467095863524,58060
322,26,8,2017,1,28.1,-3.899414398897693,55796
323,27,8,2017,1,28.7,-2.6077138146103658,54341
324,28,8,2017,0,29.3,13.334314789937615,61587
325,29,8,2017,0,27.4,-3.848214720639096,59217
326,30,8,2017,0,26.9,-4.105240049310164,56786
327,31,8,2017,0,29.1,1.8349593209593915,57828
328,1,9,2017,0,30.0,-3.3271079753752506,55904
329,2,9,2017,1,30.9,-10.292644533485976,50150
330,3,9,2017,1,29.4,-0.35493519441674976,49972
331,6,9,2017,0,30.2,8.86693603615943,63587
332,7,9,2017,0,28.8,-5.810936197650462,59892
333,8,9,2017,0,27.8,-10.218393107593668,53772
334,9,9,2017,1,28.1,-4.3889012869151225,51412
335,10,9,2017,1,28.1,-5.7379600093363425,48462
336,11,9,2017,0,28.0,9.8200652057282,53221
337,12,9,2017,0,28.8,4.329118205219744,55525
338,13,9,2017,0,30.1,0.9437190454750112,56049
339,14,9,2017,0,28.9,-0.5530874770290282,55739
340,15,9,2017,0,28.0,-5.968890722833206,52412
341,16,9,2017,1,25.4,-10.944058612531482,46676
342,19,9,2017,0,31.0,5.990741745325668,58615
343,20,9,2017,0,29.4,-1.4484347010150986,57766
344,21,9,2017,0,29.7,1.244676799501437,58485
345,22,9,2017,0,28.7,-3.2059502436522185,56610
346,23,9,2017,1,28.9,-6.202084437378554,53099
347,24,9,2017,1,29.9,-0.2071602101734496,52989
348,25,9,2017,0,27.5,2.9949612183660763,54576
349,26,9,2017,0,28.9,-0.4434183523893287,54334
350,27,9,2017,0,29.3,4.9490190304413435,57023
351,28,9,2017,0,30.0,2.8356978762955296,58640
352,29,9,2017,0,29.0,1.023192360163711,59240
353,30,9,2017,1,28.4,-5.903106009453072,55743
354,1,10,2017,1,28.9,-8.993057424250578,50730
355,2,10,2017,0,29.2,11.545436625271044,56587
356,3,10,2017,0,26.5,-11.610440560552778,50017
357,4,10,2017,0,27.2,5.360177539636524,52698
358,5,10,2017,0,26.3,-0.2637671258871305,52559
359,6,10,2017,0,26.9,-1.7941741661751558,51616
360,7,10,2017,1,25.9,-8.733725976441413,47108
361,8,10,2017,1,27.0,-4.922730746370044,44789
362,9,10,2017,0,28.0,15.932483422268861,51925
363,10,10,2017,0,26.2,-3.204622051035147,50261
364,11,10,2017,0,25.8,-0.9828694216191479,49767
365,12,10,2017,0,26.5,0.8298671810637571,50180
366,13,10,2017,0,26.2,-3.1685930649661223,48590
367,14,10,2017,1,26.3,-6.184400082321465,45585
368,15,10,2017,1,26.8,-8.116705056487879,41885
369,16,10,2017,0,22.6,3.9226453384266446,43528
370,17,10,2017,0,21.4,-3.289836427127366,42096
371,18,10,2017,0,21.0,0.5392436335993919,42323
372,19,10,2017,0,23.3,1.5996030527136544,43000
373,20,10,2017,0,25.7,0.6813953488372093,43293
374,21,10,2017,1,26.3,0.951655001963366,43705
375,22,10,2017,1,25.5,-5.754490332913853,41190
376,23,10,2017,0,24.4,3.5566885166302504,42655
377,24,10,2017,0,23.7,1.873168444496542,43454
378,25,10,2017,0,24.9,2.1171813872140657,44374
379,26,10,2017,0,25.6,2.107089737233515,45309
380,27,10,2017,0,25.8,1.7987596283299123,46124
381,28,10,2017,1,26.1,-4.219061659873383,44178
382,29,10,2017,1,25.8,-8.70795418534112,40331
383,30,10,2017,0,23.9,5.744960452257567,42648
384,31,10,2017,0,22.4,-0.29778653160757834,42521
385,1,11,2017,0,22.4,5.893558476987841,45027
386,2,11,2017,0,23.5,1.872210007328936,45870
387,3,11,2017,0,24.7,-0.5079572705471986,45637
